date,yahoo_ticker,raw_ticker,adj_close,ret,mom_12_2
2010-01-01,AAV.TO,AAV-T,6.800000190734863,,
2010-02-01,AAV.TO,AAV-T,7.239999771118164,0.06470581882965365,
2010-03-01,AAV.TO,AAV-T,6.880000114440918,-0.04972371105774864,
2010-04-01,AAV.TO,AAV-T,7.21999979019165,0.049418556699887706,
2010-05-01,AAV.TO,AAV-T,6.480000019073486,-0.10249304606953757,
2010-06-01,AAV.TO,AAV-T,6.199999809265137,-0.04320990879385589,
2010-07-01,AAV.TO,AAV-T,6.489999771118164,0.04677418883459605,
2010-08-01,AAV.TO,AAV-T,6.380000114440918,-0.016949100239843973,
2010-09-01,AAV.TO,AAV-T,6.5,0.018808759154637977,
2010-10-01,AAV.TO,AAV-T,6.320000171661377,-0.02769228128286505,
2010-11-01,AAV.TO,AAV-T,6.710000038146973,0.061708837957685336,
2010-12-01,AAV.TO,AAV-T,6.760000228881836,0.0074515932117149575,
2011-01-01,AAV.TO,AAV-T,7.429999828338623,0.09911236342777618,-0.013235316185802093
2011-02-01,AAV.TO,AAV-T,7.610000133514404,0.02422615199656475,-0.06629828141033156
2011-03-01,AAV.TO,AAV-T,8.699999809265137,0.1432325435778088,0.07994181755073981
2011-04-01,AAV.TO,AAV-T,8.039999961853027,-0.07586205308984462,0.054016669619931124
2011-05-01,AAV.TO,AAV-T,8.149999618530273,0.013681549402880133,0.34259255920636056
2011-06-01,AAV.TO,AAV-T,7.639999866485596,-0.062576659621568,0.2967742272892069
2011-07-01,AAV.TO,AAV-T,6.639999866485596,-0.1308900546434172,0.25577810569415593
2011-08-01,AAV.TO,AAV-T,5.679999828338623,-0.14457832190515985,0.19749212060242916
2011-09-01,AAV.TO,AAV-T,3.950000047683716,-0.3045774353766002,0.021538440997783903
2011-10-01,AAV.TO,AAV-T,5.289999961853027,0.33924048050457345,-0.10126587435748646
2011-11-01,AAV.TO,AAV-T,4.699999809265137,-0.11153122057513598,-0.4113263747797915
2011-12-01,AAV.TO,AAV-T,4.239999771118164,-0.0978723525137537,-0.21745565344040818
2012-01-01,AAV.TO,AAV-T,3.569999933242798,-0.15801883821769058,-0.3674293515675524
2012-02-01,AAV.TO,AAV-T,3.8299999237060547,0.07282913034317251,-0.4428384104166798
2012-03-01,AAV.TO,AAV-T,3.3499999046325684,-0.1253263782337154,-0.5896551710908204
2012-04-01,AAV.TO,AAV-T,3.0999999046325684,-0.07462686779611127,-0.5236318480251172
2012-05-01,AAV.TO,AAV-T,2.869999885559082,-0.07419355682230167,-0.5889570476769312
2012-06-01,AAV.TO,AAV-T,3.0,0.0452962089284521,-0.5942408430880549
2012-07-01,AAV.TO,AAV-T,3.930000066757202,0.31000002225240064,-0.5677710928813453
2012-08-01,AAV.TO,AAV-T,3.440000057220459,-0.1246819341509735,-0.4718309699531298
2012-09-01,AAV.TO,AAV-T,3.680000066757202,0.0697674434722726,-0.005063286249386678
2012-10-01,AAV.TO,AAV-T,3.5999999046325684,-0.021739174096029212,-0.3497164306187508
2012-11-01,AAV.TO,AAV-T,3.299999952316284,-0.08333332229543589,-0.2170212306173297
2012-12-01,AAV.TO,AAV-T,3.200000047683716,-0.030303001841675226,-0.15094337288532833
2013-01-01,AAV.TO,AAV-T,2.880000114440918,-0.09999997764825852,-0.07563024817237463
2013-02-01,AAV.TO,AAV-T,3.200000047683716,0.11111108351636934,-0.1644908325253247
2013-03-01,AAV.TO,AAV-T,3.759999990463257,0.17499997951090362,-0.14029844882732934
2013-04-01,AAV.TO,AAV-T,3.990000009536743,0.06117021799384337,0.03225811165403902
2013-05-01,AAV.TO,AAV-T,4.5,0.12781954617650992,0.31010457853408613
2013-06-01,AAV.TO,AAV-T,4.150000095367432,-0.07777775658501518,0.3300000031789143
2013-07-01,AAV.TO,AAV-T,3.7100000381469727,-0.10602410773715953,0.1450381484886658
2013-08-01,AAV.TO,AAV-T,3.8299999237060547,0.032344982297902725,0.2063953564932952
2013-09-01,AAV.TO,AAV-T,3.9600000381469727,0.03394258930301097,0.008152165990639837
2013-10-01,AAV.TO,AAV-T,4.239999771118164,0.07070700259442764,0.06388889587955737
