date,val_dec_1,val_dec_2,val_dec_3,val_dec_4,val_dec_5,val_dec_6,val_dec_7,val_dec_8,val_dec_9,val_dec_10,val_lh,mom_dec_1,mom_dec_2,mom_dec_3,mom_dec_4,mom_dec_5,mom_dec_6,mom_dec_7,mom_dec_8,mom_dec_9,mom_dec_10,mom_lh
2010-01-01,0.04934939488621742,0.031207031223625305,0.01952442647601704,0.05098425691037027,0.010133783714897864,0.046370658291199844,0.02806706219298147,0.04426207538712631,0.027515596752829788,0.05278333034341373,0.0034339354571963146,,,,,,,,,,,
2010-02-01,0.03681632791140583,0.024923077810315445,0.05747133945784345,0.034454969061732316,0.035008231958506,0.05116509249305388,0.048554025655044214,0.03715069128516402,0.03177397424437625,0.024253926720909775,-0.012562401190496054,,,,,,,,,,,
2010-03-01,0.08728377107541636,0.05772341217251913,0.003283413436264871,-0.00047979795136996714,-0.0026733999616025362,0.040072491505236736,-0.022683005475805457,0.02948393386890513,0.020308701304744364,0.021990684914459102,-0.06529308616095726,,,,,,,,,,,
2010-04-01,-0.05009190819051725,-0.020821341070728024,-0.02595018704359889,-0.03436149728343834,-0.047470428353511396,-0.03433512136704002,-0.04545759599599793,-0.021597214047999854,-0.03281502090597608,-0.03339580498374741,0.01669610320676984,,,,,,,,,,,
2010-05-01,-0.031300491505631196,-0.026883876659822257,-0.027688385333849444,0.011842838271014058,-0.03471659806662644,0.004568577326508881,-0.009614248847477367,-0.02693725410229699,0.0030883086166353575,0.0022174547487114576,0.03351794625434265,,,,,,,,,,,
2010-06-01,-0.005781142228029751,0.08321972812643237,0.05323179219161799,0.05348610064570592,0.04922991675733926,0.07585706271105773,0.05278766140021396,0.057600874970469645,0.055116523901014514,0.06307723809351058,0.06885838032154033,,,,,,,,,,,
2010-07-01,0.07264548472847779,0.007830079568042568,0.025264103326012685,0.024899254545084265,0.029902622040067005,-0.017513980714153117,0.003446967842648335,0.010523507465497801,0.043364391336071985,8.374189527028328e-05,-0.0725617428332075,,,,,,,,,,,
2010-08-01,0.05993134964281255,0.037019003787754697,0.043618940270284116,0.027870698654573717,0.07110872847829545,0.05118082861099396,0.060007705021837256,0.03908545225492207,0.06799371546251097,0.08254939911720947,0.022618049474396926,,,,,,,,,,,
2010-09-01,0.05936540369758628,0.06659653434267256,0.02408528597832298,0.042829577217200515,0.016718683806768542,0.03259250759041945,0.01720575762872425,0.05676846444263234,0.023938164734354905,0.048396778992590976,-0.010968624704995301,,,,,,,,,,,
2010-10-01,0.04862197080791714,0.01852572886944751,0.002031427531376549,-0.008377760373636599,0.01842526853320009,0.047894425018245444,0.03336952895633023,0.011293887943474974,-0.0032342083248658397,0.010063113921155034,-0.03855885688676211,,,,,,,,,,,
2010-11-01,0.03429955801611205,0.06814875326582061,0.04649583641256988,0.0650232052035834,0.050399965623786847,0.08732452669190656,0.02387978013585119,0.03877073263987595,0.0043821292849790675,0.01927797937955025,-0.0150215786365618,,,,,,,,,,,
2010-12-01,-0.0693284787991601,0.023119815489839653,0.03782388244028118,0.03622555269321066,-0.006648250012238901,0.04690846217827568,0.03748553796747871,0.005633351094585799,0.019218690212557708,0.04680771004608722,0.11613618884524732,,,,,,,,,,,
2011-01-01,0.05844791778987292,0.030507208529830868,0.008190476454387658,0.009962921924007192,0.012867428222454416,0.021655233338561248,0.05146267341253467,0.052477981208690676,0.04613974906075501,0.016800025837422367,-0.041647891952450555,0.02697087244569539,0.03240223847023382,0.03209961112544939,0.04475360768225191,0.0372399777435588,0.04884356212653152,-9.007279548604031e-05,0.03249737692063827,0.02204266848154156,0.10286349767637963,0.07589262523068424
2011-02-01,0.021566560923314788,-0.012498534944355573,0.01928716588828695,0.02394755221455325,0.028750578555974515,0.007180658572791716,0.004991378977407108,0.015427929672525834,0.028349391369199534,0.03855600611995975,0.01698944519664496,0.012010591702721255,0.026333341401625226,0.03362846831740761,-0.00249342949694622,0.0228762019934677,0.020638877007071177,0.0009459481310507472,-0.006401221605326062,0.03462387851684814,0.01422218166882646,0.0022115899661052044
2011-03-01,0.006257341973566092,-0.019288842369129932,-0.0026674794234946755,0.004072723655788117,0.023974222471098133,0.01387231960966581,-0.007055992346197009,0.015242299032275192,0.0008803362870611666,-0.015206391225351744,-0.021463733198917836,-0.027358447380355755,0.008047337330007082,0.018863331309633833,-0.0022508458732379993,-0.002066530708505419,-0.00219235989247048,0.0190213011415396,0.0029231389400061194,-0.02224056734147635,0.009263306909764875,0.03662175429012063
2011-04-01,-0.019921135580672808,-0.026151084874772332,-0.003105626813234851,0.014402132009186233,0.02075919561349677,0.014967495450105707,0.022949408816384034,0.005727243097976964,0.030501204650324795,0.038319356837995644,0.05824049241866845,-0.00018939656672956542,-0.01860401405022758,0.0030035540096419117,0.010955688253967644,0.03804267712950884,-0.003958538793043863,0.01973345047421688,0.022539360502067875,-0.02328474186041727,-0.05554553127705712,-0.055356134710327555
2011-05-01,-0.01346587863805784,-0.015648189650432708,-0.008222186975800584,-0.014166558827563276,-0.020134030273102812,-0.049446126908009924,-0.019261595400771443,-0.007048474877521225,0.006886417687036457,-0.03067601875563219,-0.017210140117574352,-0.06098306154039851,-0.02261587579932685,-0.04050765893402245,-0.015891873531881744,-0.015268442637151332,-0.01921514529306021,0.0008450236289137066,-0.0039025804054696753,-0.03574958417694316,-0.0451949105660032,0.01578815097439531
